Source,Species,Latitud,Longitud,Date,Location,State/Islands
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,Jan 1899,Aguadilla,Puerto Rico
J.Gibb 2019,Lasioglossum (Dialictus) enatum,NA,NA,jul 1999,Aguadilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,4 oct 1922,Arecibo,Puerto Rico
J.Gibb 2017,Lasioglossum (Dialictus) enatum,NA,NA,19 Dec. 1933,Arecibo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,3 jul 1917,Añasco,Puerto Rico
J.Gibb 2019,Lasioglossum (Dialictus) enatum,NA,NA,Feb. 1899,Arroyo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,21 Feb 1933,Barceloneta,Puerto Rico
J.Gibb 2017,Lasioglossum (Dialictus) enatum,NA,NA,15 nov 1932,Barceloneta,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,26 jun 1917,Bayamon,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,Dec 1960,Cabo Rojo,Puerto Rico
J.Gibb 2019,Lasioglossum (Dialictus) enatum,NA,NA,4 May 1985,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,5 nov 1992,Cayey,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,7 May 1985,Cidra,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,1 Jan 1920,Corozal,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,7 nov 2008,Culebra,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°56′55′′ N,66°52′36′′ W,27 nov 2008,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,8 jul 2007,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,11 May 1985,Humacao,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,7 Apr 1948,Isabela,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,Feb 1935,Lajas,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,5 nov 1985,Loiza,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,9 May 1985,Luquillo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°11.862′ N,66°56.347′ W,18 jun 2014,Maricao,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,Jan 1899,Mayagüez,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,May 1999,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,3 May 1985,Sabana Grande,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°59.737′ N,66°25.451′ W,12 Mar 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,NA,NA,30 May 2006,Qubradilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,18°01.830′ N,66°53.042′ W,23 May- 20 Jun 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) monense,18°03ʹ52ʺ N,67°52ʹ06ʺ W,2008,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) monense,NA,NA,13-16Nov. 2000,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,4 Jan 1948,Aguadilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,19 Jan 1933,Arecibo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,Jan 1899,Bayamon,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,Dec 1981,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,8 jun 2007,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,20 Jan 1954,Lajas,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,28 jun 1986,Loiza,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,9 May 1985,Luquillo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,27-29 Jun 1915,Manati,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,Jan 1899,Mayagüez,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,Apr 1926,San Juan,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,17°59.705′ N,66°25.063′ W,13 Mar 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,NA,NA,1 Aug 1985,Toa Baja,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) ferrerii,18°01.830′ N,66°53.042′ W,23 May - 20 Jun 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) genaroi,18°08.371′ N,"66°49.230′ W,",20 Jun - 18 Jul 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) genaroi,18°07.4616′ N,66°38.2638′ W,2 nov 1992,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,8-13 Jun 1915,Adjuntas,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,1-3 Jun 1951,Aibonito,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,21 Feb 1933,Barceloneta,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,29 Apr 1934,Bayamon,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,5 nov 1992,Cayey,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,1 Jan 1920,Corozal,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,7 Apr 1948,Isabela,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,Jan 1915,Jayuya,Puerto Rico
