"","Source","Species","Latitud","Longitud","Date","Location","State.Islands"
"94","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"21 oct 2001","Guana Island","British Virgin Islands"
"95","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"16 oct 2009","Guana Island","British Virgin Islands"
"96","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"17 oct 2009","Guana Island","British Virgin Islands"
"97","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"20 oct 2009","Guana Island","British Virgin Islands"
"98","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"5 oct 1991","Guana Island","British Virgin Islands"
"99","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"15 oct 1991","Guana Island","British Virgin Islands"
"100","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"19 oct 1991","Guana Island","British Virgin Islands"
"101","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"21 oct 1991","Guana Island","British Virgin Islands"
"102","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"23 oct 1991","Guana Island","British Virgin Islands"
"103","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"26–27 Oct. 1992","Guana Island","British Virgin Islands"
"104","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"11 oct 1992","Guana Island","British Virgin Islands"
"105","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"13–14 Oct. 1992","Guana Island","British Virgin Islands"
"106","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"17–19 Oct. 1992","Guana Island","British Virgin Islands"
"107","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.4833333333333,64.5666666666667,"8 oct 1992","Guana Island","British Virgin Islands"
"108","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.4833333333333,64.5666666666667,"9 oct 1992","Guana Island","British Virgin Islands"
